Source,Fe,S,Co,Cu,Zn,As,Se,Mo,Ag,Sb,Pb,Stoichiometry
B,440400,519700,58.8,2840,256,191,45.3,95.6,9.73,21,351,995651.57
B,440400,519700,76.4,2350,251,164,41,72,8,16.1,325,996294.5
B,440400,519700,32.1,523,294,418,20.4,57.1,9.4,20.4,870,997401.6
B,440400,519700,85.5,1730,154,514,107,194,34.5,53.8,492,996208.2
B,440400,519700,11,197,10.536,22.4,27.9,16.8,0.12163,1.41,13.1,999462.7324
B,440400,519700,15.8,480,36.016,29,43,44,0.425955,2.2,17.4,999034.158
B,440400,519700,144.1,1946,252,417,117,227,31.2,55.5,420,995964.2
B,440400,519700,148,2970,293,335,235,290,41,67,570,994541
B,440400,519700,51.5,989,315,158,70.1,103,20.1,34.5,268,997572.8
B,440400,519700,57.5,536,187,166,18.8,56.9,4.45,5.5,257,998367.85
B,440400,519700,11.1,2260,11.337,28.5,147,43.2,0.79,6.1,17.4,997095.573
B,440400,519700,23.6,1460,19.9385,36,116,68,0.23128,4.17,8.49,997904.5702
B,440400,519700,64,660,179,129,49,20.1,12.9,21.7,158,998362.3
B,440400,519700,86,3090,179,198,105,156,38.7,51.9,358,995267.4
C,449100,523800,233,350,149,77,2.28895,1.2,0.158975,7.3,159,998736.0521
C,449100,523800,314,137,89,63,2.27895,43.5,0.158325,5.41,166,998828.6527
C,449100,523800,79,510,820,82,1.44355,1.41,0.100345,5.86,181,997973.1861
C,449100,523800,88,139,295,119,0.86165,15.4,0.10855,7.3,175,998874.3298
C,449100,523800,138,21.6,13.1,3.9,1.05425,0.3,0.132875,0.79,22.7,999481.4229
C,449100,523800,6,60.3,42,67.5,1.7467,83.9,0.22037,7.57,35.4,999395.3629
C,449100,523800,69,55.2,5.79,12.5,1.53925,7,0.22147,2.36,75,999507.3893
C,449100,523800,169,195,490,356,7.2,11,0.52,38.7,241,998229.58
C,449100,523800,1470,1100,360,303,19.3,26,0.161835,19.8,395,995529.7382
C,449100,523800,19.1,96,66,230,26,6.6,0.23632,21.6,122,999125.4637
C,449100,523800,4.4,31.6,490,5.92,4.9,6.1,0.095255,2.46,9.08,999224.4447
C,449100,523800,29.3,113,58,202,20.1,18,0.29,18.1,102,999130.21
C,449100,523800,161,87,8.4645,89,11.8,1.64,0.19125,4.88,22.8,999270.2243
C,449100,523800,178,0.54575,10.9,1.9,1.4366,0.0404425,0.130975,0.7972,16.9,999498.349
C,449100,523800,27.4,520,74,2.93,1.85885,0.55,0.169545,1.0342,47.5,999004.5574
C,449100,523800,660,65,21,1.7,1.5849,1.43,0.14464,0.88485,12.3,998993.9556
C,449100,523800,75,88,395,5.5,1.8008,0.050855,0.164415,2.12,75,999072.3639
C,449100,523800,14,63,8.118,70,2.55945,0.91,0.23378,1.43655,41.9,999528.8422
C,449100,523800,109,116,103,242,7.316,2.67,0.66865,29.2,625,998482.1454
C,449100,523800,10.4,90,23.3,112,2.8,1.13,0.10676,14,301,999232.2632
C,449100,523800,7.6,123,18.3,212,1.0988,1.61,0.12545,29.5,580,998780.7658
C,449100,523800,123,335,136,398,14.9,45.9,0.14554,15.1,458,998168.9545
C,449100,523800,36.5,335,114,527,22.9,70.8,0.150835,14.5,156,998441.1492
C,449100,523800,30,106,205,302,3.2,3.3,0.119285,11.5,135,998958.8807
C,449100,523800,0.69,24.7,36,107,1.49315,1.46,0.1456,4.64,48.6,999532.2713
C,449100,523800,2.3,29.3,49.3,111,1.5607,2.06,0.15227,5.37,65.4,999469.557
C,449100,523800,24,64,54,162,3.3,3.7,0.22472,11.8,164,999263.9753
C,449100,523800,14.1,167,29.7,60.5,1.3655,1.03,0.159715,1.64,44.3,999396.2048
C,449100,523800,3.38,13.7,1.31185,0.169,0.207845,0.0100665,0.094145,0.051,25.9,999716.3761
C,449100,523800,11.4,102,1.76945,0.11407,0.307055,0.0173995,0.7,0.025117,156,999466.6669
C,449100,523800,0.71,42.1,2.5165,0.07616,0.82,0.0184635,0.182,0.0176155,72,999641.5593
C,449100,523800,201,1500,30.9505,21,3.0183,1.07,0.411735,3.3,124,997705.2495
C,449100,523800,82,470,186,8.7,0.7714,0.71,0.095415,1.95,214,998700.7732
C,449100,523800,24.2,90,19.4015,9,2.43865,1.03,0.388715,0.62,45,999529.9211
C,449100,523800,36,120,56,14.7,2.6486,1.46,0.379855,1.38,61,999455.4315
C,449100,523800,100,69,18.6135,29.4,5.3,49.104,0.347005,1.23,132,999303.0055
C,449100,523800,78,144,19,23.9,0.71705,2.3,0.10989,1.59,110,999361.3831
C,449100,523800,88,152,49,47.9,7.6,2.8,0.35505,1.07,153,999108.275
C,449100,523800,10.5,62.2,22,10,0.38914,0.25,0.0536,0.8,21.3,999615.5073
C,449100,523800,127,172,135,92,1.05,1.09,0.16809,3.93,166,998997.7619
C,449100,523800,39.2,107,2.14385,41.5,4.2,0.77,0.042042,2.08,87,999451.0641
C,449100,523800,0.0396595,3.1,0.8784,10.2,0.23104,0.0103585,0.0420465,0.0021981,11.9,999734.4747
C,449100,523800,75,9.8,0.8784,4.14,0.83465,0.047673,0.130685,0.0080305,11.59,999601.449
C,449100,523800,19.5,1.97,0.8784,1.48,1.24,0.011217,0.044604,0.171165,35.1645,999705.4185
C,449100,523800,6.9,2.6,0.8784,3.02,0.60155,0.0187445,0.07486,0.287755,58.915,999696.5821
C,449100,523800,164,117,0.8784,27.4,0.451525,0.142,0.060025,0.0037528,72,999336.9427
C,449100,523800,118,89,0.8784,50,2.45,6.2,0.05255,0.025,140,999294.2725
C,449100,523800,31.3,64,0.8784,28.6,3.88,1.13,0.0403345,0.00219345,62.6,999508.4475
C,449100,523800,72.9,152,0.8784,28.5,2.86,3.1,0.033335,0.0017386,26.4,999336.2049
C,449100,523800,31.6,52,0.8784,10.4,2.4,0.25,0.0485275,0.0025907,76,999578.2989
